"Time (s)","Acceleration x (m/s²)","Acceleration y (m/s²)","Acceleration z (m/s²)"
3.915254268E2,-1.701000094E0,4.071000099E0,8.635050774E0
3.915278827E2,-1.617000103E0,4.299000263E0,8.493000031E0
3.915303385E2,-1.351050019E0,4.504950047E0,8.413949966E0
3.915327942E2,-1.042050004E0,4.687050343E0,8.424000740E0
3.915352501E2,-8.580000401E-1,4.768050194E0,8.497950554E0
3.915377058E2,-8.800500631E-1,4.785000324E0,8.592000008E0
3.915401628E2,-1.057050109E0,4.854000092E0,8.680050850E0
3.915426172E2,-1.320000052E0,4.962000370E0,8.742000580E0
3.915450732E2,-1.480950117E0,4.969050407E0,8.793000221E0
3.915475289E2,-1.585950017E0,4.926000118E0,8.824049950E0
3.915499846E2,-1.593000054E0,4.810950279E0,8.848050117E0
3.915524403E2,-1.525950074E0,4.621950150E0,8.905050278E0
3.915548962E2,-1.420950055E0,4.399050236E0,8.980050087E0
3.915573519E2,-1.375050068E0,4.066950321E0,9.055950165E0
3.915598089E2,-1.413000107E0,3.676050186E0,9.121050835E0
3.915622634E2,-1.047000051E0,3.490050077E0,9.292950630E0
3.915647193E2,-5.610000491E-1,3.250050068E0,9.469950676E0
3.915671751E2,-1.060500070E-1,3.007950068E0,9.541950226E0
3.915696308E2,2.500500083E-1,2.814000130E0,9.547050476E0
3.915720867E2,5.230500102E-1,2.596050024E0,9.460950851E0
3.915745424E2,6.570000052E-1,2.485950232E0,9.387000084E0
3.915769981E2,6.709500551E-1,2.458050013E0,9.288000107E0
3.915794551E2,6.730500460E-1,2.400000095E0,9.172950745E0
3.915819098E2,7.189500332E-1,2.307000160E0,9.097050667E0
3.915843654E2,8.029500246E-1,2.236950159E0,9.039000511E0
3.915868212E2,9.220500588E-1,2.287950039E0,8.962950706E0
3.915892769E2,9.870000482E-1,2.359050035E0,8.877000809E0
3.915917328E2,1.055999994E0,2.437950134E0,8.812050819E0
3.915941885E2,1.030050039E0,2.565000057E0,8.752050400E0
3.915966443E2,9.030000567E-1,2.683050156E0,8.659049988E0
3.915991012E2,6.880500317E-1,2.901000023E0,8.593950272E0
3.916015559E2,4.770000279E-1,3.082950115E0,8.557950020E0
3.916040116E2,2.260500044E-1,3.288000107E0,8.509950638E0
3.916064673E2,-3.195000067E-2,3.444000244E0,8.509950638E0
3.916089230E2,-3.100500107E-1,3.652050257E0,8.488950729E0
3.916113787E2,-6.829500198E-1,3.841950178E0,8.431050301E0
3.916138347E2,-1.096950054E0,4.107000351E0,8.416950226E0
3.916162904E2,-1.549950123E0,4.312950134E0,8.410050392E0
3.916187473E2,-1.983000040E0,4.560000420E0,8.412000656E0
3.916212020E2,-2.329950094E0,4.756050110E0,8.437950134E0
3.916236577E2,-2.673000097E0,4.993050098E0,8.449950218E0
3.916261135E2,-2.962950230E0,5.178000450E0,8.437950134E0
3.916285692E2,-3.195000172E0,5.251950264E0,8.412000656E0
3.916310251E2,-3.358050108E0,5.223000050E0,8.335050583E0
3.916334808E2,-3.336000204E0,5.047950268E0,8.260950089E0
3.916359366E2,-3.067950249E0,4.656000137E0,8.221050262E0
3.916383935E2,-2.701950073E0,4.131000042E0,8.223000526E0
3.916408482E2,-2.328000069E0,3.588000059E0,8.251950264E0
3.916433039E2,-1.897050142E0,3.090000153E0,8.376000404E0
3.916457597E2,-1.497000098E0,2.637000084E0,8.529000282E0
3.916482154E2,-1.159950018E0,2.215950012E0,8.781000137E0
3.916506713E2,-7.840500474E-1,1.893000126E0,9.061050415E0
3.916531270E2,-4.750500321E-1,1.641000032E0,9.360000610E0
3.916555827E2,-2.020500153E-1,1.492950082E0,9.643050194E0
3.916580397E2,-3.000000026E-3,1.396950126E0,9.967950821E0
3.916604944E2,1.590000093E-1,1.360950112E0,1.022895050E1
3.916629501E2,2.850000262E-1,1.390050054E0,1.040700054E1
3.916654058E2,3.210000098E-1,1.489950061E0,1.053105068E1
3.916678617E2,2.929500043E-1,1.608000040E0,1.064100075E1
3.916703174E2,2.020500153E-1,1.792050123E0,1.072005081E1
3.916727732E2,7.200000435E-2,1.933050036E0,1.074705029E1
3.916752289E2,-4.395000264E-2,2.077050209E0,1.067895031E1
3.916776858E2,-1.879500151E-1,2.176950216E0,1.058100033E1
3.916801405E2,-3.049500287E-1,2.287950039E0,1.042095089E1
3.916825963E2,-4.530000091E-1,2.338050127E0,1.024395084E1
3.916850520E2,-5.659500360E-1,2.355000019E0,1.006395054E1
3.916875079E2,-6.570000052E-1,2.340000153E0,9.910950661E0
3.916899637E2,-7.429500222E-1,2.331000090E0,9.748050690E0
3.916924193E2,-8.389500380E-1,2.272950172E0,9.628050804E0
3.916948751E2,-9.130500555E-1,2.259000063E0,9.493950844E0
